"id_sscc","Periodo","Edad_media_de_la_población","Porcentaje_de_población_menor_de_18_años","Porcentaje_de_población_de_65_y_más_años","Tamaño_medio_del_hogar","Porcentaje_de_hogares_unipersonales","Población","Porcentaje_de_población_española","Índice_de_Gini","Distribución_de_la_renta_P80/P20","Renta_neta_media_por_persona_","Renta_neta_media_por_hogar","Media_de_la_renta_por_unidad_de_consumo","Mediana_de_la_renta_por_unidad_de_consumo","Renta_bruta_media_por_persona","Renta_bruta_media_por_hogar","tipo_eleccion","anyo_proceso","mes_proceso","id_ca","n_censo_ine","n_escrutinio_censo","n_escrutinio_censo_extr","n_votantes_censo_extr","n_partici_primer_av","n_partici_segund_av","n_vot_blanco","n_vot_nulos","PSOE","PP","Cs","ERC","VOX","JUNTS","PNV","PODEMOS_IU","EH_Bildu","BNG","CUP","N_VOTOS","P_PSOE","P_PP","P_Cs","P_ERC","P_VOX","P_JUNTS","P_PODEMOS_IU","P_CUP"
"0801901001",2019,41,11.7,17.1,2.36,40,1208,53.7,35.6,3.3,10928,27387,16074,13650,13022,32635,2,2019,11,9,621,621,0,0,216,320,3,7,85,45,25,43,36,26,0,79,0,0,27,366,0.23224043715847,0.122950819672131,0.0683060109289618,0.117486338797814,0.0983606557377049,0.0710382513661202,0.215846994535519,0.0737704918032787
"0801901002",2019,38.1,12.2,12.3,2.45,38.2,1300,41.8,38.2,3.7,8783,23230,13473,10850,10797,28555,2,2019,11,9,569,569,0,0,162,240,0,4,74,23,15,48,22,13,0,47,0,0,22,264,0.28030303030303,0.0871212121212121,0.0568181818181818,0.181818181818182,0.0833333333333333,0.0492424242424242,0.178030303030303,0.0833333333333333
"0801901003",2019,39.3,16.2,13.2,2.72,34.1,2898,50.4,36.8,3.7,8813,25565,13157,11550,10281,29825,2,2019,11,9,1343,1343,0,0,469,633,2,0,213,88,41,105,52,56,0,124,0,0,40,719,0.296244784422809,0.122392211404729,0.0570236439499305,0.146036161335188,0.0723226703755216,0.0778859527121001,0.172461752433936,0.0556328233657858
"0801901004",2019,38.1,15.2,10.7,2.53,35,2756,52.7,37.1,3.3,10694,28470,15633,12950,12875,34276,2,2019,11,9,1315,1315,0,0,433,664,1,3,206,48,49,120,69,50,0,168,0,0,64,774,0.266149870801034,0.062015503875969,0.0633074935400517,0.155038759689922,0.0891472868217054,0.0645994832041344,0.217054263565891,0.082687338501292
"0801901005",2019,39.9,14.4,13.6,2.38,38.5,2260,51.1,37.1,3.4,9196,23125,13510,10850,10810,27182,2,2019,11,9,1039,1039,0,0,308,508,2,2,135,41,24,80,21,35,0,127,0,0,48,511,0.264187866927593,0.0802348336594912,0.0469667318982387,0.156555772994129,0.0410958904109589,0.0684931506849315,0.24853228962818,0.0939334637964775
"0801901006",2019,39.9,11.3,12.7,2.4,40,1422,43.3,38.7,3.1,10558,26841,15502,11550,12863,32701,2,2019,11,9,597,597,0,0,165,236,0,1,62,32,7,56,6,24,0,79,0,0,21,287,0.21602787456446,0.111498257839721,0.024390243902439,0.195121951219512,0.0209059233449477,0.0836236933797909,0.275261324041812,0.0731707317073171
"0801901007",2019,37.1,15,7.4,2.64,35.3,1811,44,36.6,3.5,9323,26687,13947,11550,11079,31715,2,2019,11,9,728,728,0,0,200,298,0,0,114,20,21,48,8,17,0,88,0,0,40,356,0.320224719101124,0.0561797752808989,0.0589887640449438,0.134831460674157,0.0224719101123595,0.047752808988764,0.247191011235955,0.112359550561798
"0801901008",2019,37.4,17,11.4,2.87,33,2947,42.3,33.8,2.8,7751,23425,11838,10150,8956,27067,2,2019,11,9,1178,1178,0,0,339,491,5,9,142,25,39,107,27,25,0,115,0,0,48,528,0.268939393939394,0.0473484848484848,0.0738636363636364,0.202651515151515,0.0511363636363636,0.0473484848484848,0.21780303030303,0.0909090909090909
"0801901009",2019,38.7,16,12,2.5,35.9,2076,47,36.3,3.5,9643,25691,14237,12250,11414,30409,2,2019,11,9,916,916,0,0,305,449,1,3,115,35,33,92,24,40,0,117,0,0,28,484,0.237603305785124,0.0723140495867769,0.0681818181818182,0.190082644628099,0.0495867768595041,0.0826446280991736,0.241735537190083,0.0578512396694215
"0801901010",2019,36.5,16,8.7,2.84,31,2262,40.7,35.5,3,8015,24571,12393,10150,9375,28740,2,2019,11,9,855,855,0,0,216,337,1,7,107,16,12,79,10,24,0,97,0,0,38,383,0.279373368146214,0.0417754569190601,0.031331592689295,0.206266318537859,0.0261096605744125,0.0626631853785901,0.253263707571802,0.0992167101827676
